c_ine;no_municipio;id_provincia;is_capital_prov;is_capital_comaut;nu_poblacion;geo_latitude_etrs89;geo_longitude_etrs89;geo_altura;geo_superficie;geo_perimetro;geo_hoja_etrs89
26076;HORMILLEJA;26;0;0;132;42,45554;-2,731128;494;744;12758;0203-1
26077;HORNILLOS DE CAMEROS;26;0;0;23;42,21054;-2,419071;1158;1190;22193;0242-3
26078;HORNOS DE MONCALVILLO;26;0;0;95;42,39139;-2,585186;681;740;12212;0203-4
26079;HUÉRCANOS;26;0;0;860;42,42879;-2,694226;512;2148;23233;0203-1
26080;IGEA;26;0;0;639;42,0699;-2,010701;593;5424;43359;0281-4
26081;JALÓN DE CAMEROS;26;0;0;22;42,21822;-2,489638;882;842;12729;0242-3
26082;LAGUNA DE CAMEROS;26;0;0;109;42,17594;-2,542891;1056;4159;31062;0241-4
26083;LAGUNILLA DEL JUBERA;26;0;0;334;42,33398;-2,32192;643;3429;33779;0242-2
26084;LARDERO;26;0;0;11094;42,42704;-2,462537;438;2061;19162;0204-1
26086;LEDESMA DE LA COGOLLA;26;0;0;16;42,31998;-2,719755;746;1213;16349;0241-1
26087;LEIVA;26;0;0;238;42,50367;-3,04719;587;1271;15630;0169-3
26088;LEZA DE RÍO LEZA;26;0;0;40;42,32922;-2,405841;571;1112;15039;0242-1
26089;LOGROÑO;26;1;1;150020;42,46645;-2,445655;384;7897;56107;0204-1
26091;LUMBRERAS DE CAMEROS;26;0;0;144;42,10445;-2,622746;1184;14290;55584;0279-2
26092;MANJARRÉS;26;0;0;110;42,39213;-2,675573;629;616;10919;0203-4
26093;MANSILLA DE LA SIERRA;26;0;0;52;42,15324;-2,944417;947;8475;58424;0278-2
26094;MANZANARES DE RIOJA;26;0;0;58;42,39529;-2,894989;806;1791;22141;0202-4
26095;MATUTE;26;0;0;93;42,29852;-2,795067;682;2564;28559;0241-1
26096;MEDRANO;26;0;0;339;42,38222;-2,554027;600;745;12775;0203-4
26098;MUNILLA;26;0;0;109;42,18846;-2,295262;790;5418;54836;0242-4
26099;MURILLO DE RÍO LEZA;26;0;0;1609;42,40181;-2,325078;411;4606;33971;0204-4
26100;MURO DE AGUAS;26;0;0;63;42,13342;-2,112196;893;3090;29247;0281-1
26101;MURO EN CAMEROS;26;0;0;35;42,22506;-2,529934;1111;1598;16797;0241-4
26102;NÁJERA;26;0;0;8069;42,41602;-2,735734;491;3743;47812;0203-3
26103;NALDA;26;0;0;1210;42,33457;-2,487603;630;2459;27698;0204-3
26104;NAVAJÚN;26;0;0;9;41,96408;-2,098747;930;1637;20289;0319-1
26105;NAVARRETE;26;0;0;3016;42,42953;-2,561532;519;2853;26216;0203-2
26106;NESTARES;26;0;0;87;42,27015;-2,619937;866;2160;20510;0241-2
26107;NIEVA DE CAMEROS;26;0;0;86;42,21896;-2,666651;1017;4204;29823;0241-4
26109;OCHÁNDURI;26;0;0;79;42,52521;-3,004349;551;1172;17140;0169-4
26108;OCÓN;26;0;0;315;42,2991;-2,243305;898;6092;41841;0242-2
26110;OJACASTRO;26;0;0;187;42,34666;-3,00531;793;4432;32866;0202-4
26111;OLLAURI;26;0;0;311;42,54148;-2,834458;507;259;7059;0170-3
26112;ORTIGOSA DE CAMEROS;26;0;0;219;42,1762;-2,704654;1047;3301;25352;0241-3
26113;PAZUENGOS;26;0;0;27;42,31723;-2,926187;1161;2511;29233;0240-2
26114;PEDROSO;26;0;0;89;42,30129;-2,719232;780;1929;22840;0241-1
