c_postal;id_provincia;c_ine
46169;46;46182
05357;5;5040
15880;15;15089
27152;27;27039
50786;50;50119
36389;36;36021
06184;6;6902
16316;16;16044
25611;25;25037
31004;31;31201
48309;48;48079
36629;36;36061
13370;13;13027
07193;7;7010
38685;38;38019
19220;19;19151
32867;32;32030
02128;2;2006
28210;28;28160
25288;25;25124
27181;27;27023
32704;32;32007
20740;20;20027
33747;33;33070
39518;39;39014
43206;43;43171
50500;50;50251
41440;41;41055
32562;32;32086
39450;39;39004
01220;1;1014
41140;41;41902
15686;15;15086
19269;19;19238
27226;27;27020
31252;31;31053
28597;28;28060
15128;15;15092
21387;21;21027
43528;43;43008
22807;22;22039
26586;26;26100
37610;37;37194
10290;10;10195
18490;18;18141
30381;30;30016
40165;40;40162
24990;24;24060
09611;9;9070
24222;24;24902
09219;9;9054
09342;9;9389
16550;16;16112
02512;2;2003
35370;35;35034
08106;8;8256
50299;50;50241
09249;9;9007
25186;25;25125
44368;44;44157
48879;48;48008
19247;19;19055
29240;29;29093
37316;37;37057
49525;49;49173
08014;8;8019
21007;21;21041
37659;37;37286
44157;44;44123
22230;22;22217
35200;35;35026
50694;50;50095
46816;46;46154
22584;22;22247
05310;5;5074
27243;27;27053
37755;37;37035
37111;37;37292
17133;17;17126
22194;22;22047
41092;41;41091
19332;19;19188
24223;24;24107
22640;22;22204
45529;45;45203
14206;14;14064
24233;24;24006
49211;49;49180
02488;2;2086
14260;14;14028
25748;25;25060
31494;31;31094
42132;42;42132
47418;47;47068
06196;6;6126
11204;11;11004
30700;30;30037
06473;6;6151
09660;9;9302
24398;24;24049
30876;30;30026
49215;49;49023
08785;8;8292
10870;10;10061
46016;46;46237
25131;25;25233
24790;24;24136
22809;22;22151
40240;40;40095
01230;1;1901
25600;25;25040
49540;49;49138
50213;50;50173
26340;26;26129
17243;17;17090
49026;49;49275
50792;50;50092
03518;3;3127
36958;36;36029
38129;38;38038
04459;4;4050
39761;39;39102
18517;18;18054
01196;1;1059
15619;15;15050
22711;22;22130
17772;17;17115
34209;34;34196
06960;6;6034
35509;35;35018
09212;9;9213
47851;47;47148
42001;42;42173
10695;10;10175
46838;46;46057
37657;37;37313
10818;10;10059
47492;47;47139
25638;25;25128
19200;19;19046
37419;37;37231
24344;24;24226
10896;10;10142
17253;17;17110
19111;19;19327
27628;27;27055
09124;9;9175
22415;22;22158
15979;15;15071
12550;12;12009
38570;38;38012
19337;19;19285
39180;39;39047
08275;8;8034
13640;13;13047
31131;31;31074
36850;36;36025
47400;47;47085
21647;21;21012
08859;8;8020
19432;19;19001
14330;14;14021
19268;19;19017
22811;22;22905
28036;28;28079
32563;32;32086
45004;45;45168
47690;47;47185
36570;36;36052
48498;48;48005
21390;21;21031
23110;23;23067
50340;50;50159
45543;45;45126
09462;9;9160
25620;25;25234
28028;28;28079
34492;9;9306
28055;28;28079
44169;44;44093
22549;22;22909
29002;29;29067
31292;31;31260
14100;14;14017
22255;22;22116
37720;37;37263
17462;17;17097
42132;42;42022
11300;11;11022
24171;24;24004
35120;35;35019
44358;44;44227
48145;48;48088
22410;22;22017
34469;34;34101
49714;49;49084
03369;3;3099
06011;6;6015
09615;9;9226
11390;11;11035
48393;48;48906
05229;5;5026
04860;4;4069
17840;17;17186
16878;16;16116
49136;49;49242
37336;37;37164
26588;26;26029
38788;38;38016
50561;50;50052
18640;18;18904
25261;25;25164
37607;37;37268
15914;15;15065
48870;48;48086
43776;43;43040
50190;50;50297
27425;27;27059
39585;39;39022
48640;48;48016
50344;50;50176
38434;38;38022
08241;8;8113
12180;12;12033
45591;45;45204
24391;24;24065
36920;36;36026
06480;6;6088
27677;27;27006
06476;6;6098
34879;34;34171
49639;49;49216
24433;24;24036
02230;2;2045
14209;14;14009
26529;26;26047
05212;5;5008
23359;23;23071
31395;31;31150
33678;33;33002
39613;39;39008
31312;31;31069
31281;31;31190
14815;14;14055
04839;4;4063
06670;6;6063
45005;45;45168
02636;2;2078
49325;49;49017
24670;24;24114
18212;18;18095
25726;25;25127
09131;9;9297
42112;42;42208
02139;2;2011
24251;24;24065
27300;27;27022
35558;35;35024
13193;13;13041
15594;15;15036
12126;12;12048
35260;35;35002
43540;43;43136
43330;43;43129
01440;1;1054
27165;27;27014
31400;31;31216
41310;41;41018
40353;40;40100
16100;16;16236
24208;24;24107
24166;24;24079
08450;8;8106
32618;32;32050
50017;50;50297
08191;8;8184
25269;25;25238
24403;24;24115
41330;41;41092
24767;24;24154
27730;27;27001
25693;25;25161
32371;32;32060
18730;18;18140
05631;5;5901
24197;24;24222
26132;26;26135
09346;9;9208
16195;16;16001
38726;38;38007
46750;46;46231
27206;27;27040
37171;37;37198
14490;14;14072
38109;38;38032
24741;24;24172
50373;50;50239
18181;18;18063
27780;27;27019
35458;35;35023
25512;25;25227
37480;37;37140
23280;23;23012
39728;39;39045
46311;46;46254
45182;45;45015
02100;2;2073
15960;15;15073
46357;46;46213
05153;5;5129
24717;24;24090
49148;49;49133
33937;33;33066
45111;45;45052
19262;19;19251
11689;11;11005
14510;14;14045
39193;39;39029
40540;40;40080
07179;7;7061
08530;8;8088
39340;39;39085
46172;46;46018
08503;8;8100
19237;19;19248
08228;8;8279
24512;24;24209
16433;16;16253
37240;37;37173
42317;42;42194
50268;50;50266
22880;22;22078
05429;5;5156
37129;37;37129
45900;45;45013
50591;50;50014
05296;5;5090
22190;22;22248
24489;24;24109
03001;3;3014
41565;41;41037
24395;24;24148
33734;33;33029
06100;6;6095
30629;30;30020
45694;45;45165
50219;50;50282
01479;1;1010
47175;47;47117
47014;47;47186
37607;37;37041
49750;49;49207
18192;18;18168
46814;46;46154
43421;8;8021
18620;18;18014
08290;8;8266
03169;3;3012
23180;23;23035
33750;33;33023
33534;33;33049
38460;38;38015
02640;2;2009
36414;36;36039
48140;48;48094
26212;26;26065
32635;32;32032
20267;20;20071
27631;27;27062
10730;10;10055
09292;9;9224
25631;25;25904
25593;25;25208
37882;37;37235
13380;13;13009
22773;22;22076
46800;46;46145
37003;37;37274
05220;5;5114
24918;24;24130
36004;36;36038
38588;38;38005
20578;20;20074
28043;28;28079
43549;43;43014
32330;32;32017
07170;7;7063
33430;33;33014
14011;14;14021
30003;30;30030
34002;34;34120
15985;15;15072
19116;19;19107
27647;27;27006
09249;9;9422
33841;33;33068
33519;33;33021
19276;19;19185
22280;22;22173
07192;7;7021
43153;43;43066
18660;18;18910
20580;20;20074
36002;36;36038
28609;28;28175
31310;31;31067
18213;18;18111
05309;5;5139
37609;37;37088
17858;17;17208
29430;29;29084
50547;50;50249
38160;38;38038
19294;19;19168
05418;5;5014
03640;3;3089
37140;37;37370
50830;50;50298
19450;19;19291
48310;48;48031
24143;24;24029
06614;6;6023
46530;46;46220
42162;42;42211
32637;32;32032
07550;7;7062
09587;9;9410
27639;27;27062
33140;33;33044
10520;10;10058
19313;19;19216
18012;18;18087
32412;32;32018
22424;22;22102
25334;25;25070
38890;38;38002
21290;21;21004
49692;49;49113
38677;38;38001
09197;9;9372
16413;16;16212
17120;17;17130
46270;46;46257
15142;15;15005
17520;17;17141
10610;10;10035
42135;42;42009
49639;49;49168
22860;22;22068
46460;46;46230
08517;8;8188
10317;10;10065
32930;32;32081
47160;47;47006
19250;19;19257
36320;36;36045
16452;16;16217
09230;9;9338
02498;2;2037
26315;26;26044
31250;31;31200
38120;38;38038
42295;42;42008
31487;31;31155
28609;28;28178
01260;1;1009
03660;3;3093
05691;5;5236
24763;24;24166
28752;28;28901
37624;37;37010
46315;46;46095
19390;19;19118
42313;42;42043
42148;42;42055
02005;2;2003
04897;4;4083
31448;31;31241
31480;31;31242
22097;22;22125
04150;4;4013
08696;8;8166
38201;38;38023
46825;46;46071
28189;28;28107
19133;19;19023
27389;27;27022
22211;22;22124
31530;31;31078
42165;42;42151
15005;15;15030
32001;32;32054
33310;33;33076
34889;34;34080
43896;43;43904
46813;46;46096
08256;8;8178
24496;24;24109
27612;27;27057
25595;25;25089
25283;25;25124
09133;9;9202
16879;16;16079
09549;9;9412
16360;16;16024
28984;28;28106
31451;31;31198
44562;44;44071
06260;6;6085
23615;23;23060
44720;44;44177
13427;13;13036
34485;34;34093
07012;7;7040
09246;9;9195
12140;12;12003
46019;46;46250
50617;50;50095
17746;17;17031
05560;5;5263
30858;30;30039
09133;9;9427
27817;27;27033
49321;49;49143
04600;4;4006
12131;12;12122
28194;28;28124
38370;38;38025
46166;46;46133
08738;8;8168
11392;11;11035
31680;31;31185
39511;39;39014
38800;38;38036
09593;9;9238
49640;49;49046
02340;2;2068
27822;27;27065
45400;45;45142
37330;37;37038
16118;16;16104
22588;22;22053
45163;45;45174
27002;27;27028
10182;10;10193
28600;28;28096
37591;37;37107
15256;15;15045
47316;47;47059
20550;20;20013
27610;27;27057
07650;7;7057
11519;11;11028
08289;8;8071
33557;33;33003
44641;44;44230
12591;12;12074
20008;20;20069
17529;17;17141
24156;24;24175
22808;22;22173
39315;39;39087
15809;15;15046
22268;22;22136
35630;35;35003
03369;3;3109
09259;9;9307
19191;19;19225
32699;32;32085
13600;13;13005
32140;32;32087
02410;2;2044
28812;28;28111
15239;15;15062
42290;42;42071
32668;32;32001
31485;31;31156
34429;34;34099
39430;39;39046
43591;43;43006
25513;25;25171
09592;9;9272
32456;32;32065
36810;36;36045
41960;41;41047
37453;37;37291
01208;1;1061
09292;9;9056
13400;13;13011
08002;8;8019
33877;33;33073
34430;34;34130
47452;47;47232
03469;3;3051
36862;36;36042
02150;2;2075
35610;35;35003
10666;10;10005
27861;27;27064
15965;15;15073
19003;19;19130
22583;22;22035
08279;8;8012
08294;8;8025
16238;16;16244
22000;22;22125
25155;25;25006
33640;33;33037
37460;37;37314
47317;47;47056
08007;8;8019
18700;18;18006
14111;14;14017
34170;34;34237
48499;48;48025
13450;13;13024
20730;20;20018
02110;2;2035
38297;38;38023
05192;5;5141
40514;40;40024
50177;50;50059
32613;32;32053
49600;49;49021
26339;26;26001
49871;49;49267
50175;50;50199
24394;24;24182
36617;36;36060
38310;38;38026
41010;41;41091
32400;32;32069
37115;37;37027
23194;23;23050
04479;4;4046
01003;1;1059
26144;26;26066
16420;16;16270
04743;4;4079
14129;14;14030
27375;27;27065
36315;36;36057
03340;3;3005
26222;26;26127
39212;39;39032
50430;50;50163
45653;45;45155
26212;26;26128
28510;28;28033
37450;37;37344
49331;49;49231
03502;3;3031
31809;31;31073
43764;43;43043
40280;40;40141
32160;32;32052
17770;17;17026
22471;22;22143
35469;35;35009
13690;13;13005
07180;7;7011
37448;37;37072
32457;32;32065
27003;27;27028
20560;20;20059
24493;24;24169
35017;35;35016
08795;8;8146
20248;20;20906
38813;38;38003
13130;13;13042
44144;44;44262
08028;8;8019
32420;32;32040
26311;26;26015
35329;35;35033
31512;31;31106
42213;42;42008
15212;15;15042
18100;18;18021
25555;25;25173
32150;32;32059
